Run,Trial,enter room,exit room,next room,triage,Mean,,Overall Mean,,Standard Deviation,,Variance
exp-0035,Trial-178,0.5,1,0.846153846,0.307692308,0.663461538,,,,,,
exp-0035,Trial-100,0.454545455,1,0.823529412,0.633333333,0.72785205,,,,,,
exp-0035,Trial-126,0.58974359,1,0.933333333,0.846153846,0.842307692,,,,,,
exp-0035,Trial-241,0.4,1,0.909090909,0.571428571,0.72012987,,,,,,
exp-0035,Trial-115,0.552631579,1,1,0.625,0.794407895,,,,,,
exp-0035,Trial-255,0.464285714,1,1,0.7,0.791071429,,,,,,
exp-0035,Trial-258,0.6,1,1,0.777777778,0.844444444,,,,,,
exp-0035,Trial-259,0.722222222,1,0.8,0.888888889,0.852777778,,,,,,
exp-0035,Trial-75,0.738095238,0.958333333,0.941176471,0.764705882,0.850577731,,,,,,
exp-0035,Trial-225,,,0.666666667,,0.666666667,,,,,,
exp-0035,Trial-224,0.428571429,1,0.916666667,0.65625,0.750372024,,,,,,
exp-0035,Trial-181,0.571428571,1,0.777777778,0.8,0.787301587,,,,,,
exp-0035,Trial-123,0.658536585,1,0.888888889,0.65625,0.800918869,,,,,,
exp-0036,Trial-256,0.571428571,1,0.846153846,0.814814815,0.808099308,,,,,,
exp-0036,Trial-45,,,,,,,,,,,
exp-0036,Trial-251,0.473684211,0.956521739,0.9375,0.513513514,0.720304866,,,,,,
exp-0036,Trial-214,0.6,1,0.875,0.633333333,0.777083333,,,,,,
exp-0036,Trial-161,0.612903226,1,1,0.705882353,0.829696395,,,,,,
exp-0036,Trial-65,,,0.5,,0.5,,,,,,
exp-0036,Trial-48,0.65625,1,1,0.725490196,0.845435049,,,,,,
exp-0036,Trial-261,0.627906977,0.944444444,1,0.830508475,0.850714974,,,,,,
exp-0036,Trial-114,0.529411765,1,0.785714286,0.605263158,0.730097302,,,,,,
exp-0036,Trial-84,0.3,1,0.933333333,0.574468085,0.701950355,,,,,,
exp-0036,Trial-59,0.40625,0.995633188,0.833333333,0.666666667,0.725470797,,,,,,
exp-0036,Trial-117,0.514285714,1,0.923076923,0.692307692,0.782417582,,,,,,
exp-0036,Trial-234,0.631578947,1,0.928571429,0.565217391,0.781341942,,,,,,
exp-0037,Trial-126,0.58974359,1,0.933333333,0.846153846,0.842307692,,,,,,
exp-0037,Trial-176,0.5,1,0.818181818,0.743589744,0.76544289,,,,,,
exp-0037,Trial-195,0.384615385,1,0.75,0.56097561,0.673897749,,,,,,
exp-0037,Trial-222,0.5,1,0.923076923,0.608695652,0.757943144,,,,,,
exp-0037,Trial-256,0.545454545,1,0.857142857,0.814814815,0.804353054,,,,,,
exp-0037,Trial-59,0.40625,0.995633188,0.818181818,0.666666667,0.721682918,,,,,,
exp-0037,Trial-78,,,1,,1,,,,,,
exp-0037,Trial-86,0.357142857,1,0.928571429,0.533333333,0.704761905,,,,,,
exp-0038,Trial-207,0.48,1,0.833333333,0.72972973,0.760765766,,,,,,
exp-0038,Trial-124,0.703703704,1,0.7,0.777777778,0.79537037,,,,,,
exp-0038,Trial-105,0.666666667,1,0.666666667,0.4,0.683333333,,,,,,
exp-0038,Trial-46,0.466666667,1,0.875,0.642384106,0.746012693,,,,,,
exp-0038,Trial-164,0.666666667,1,0.857142857,0.833333333,0.839285714,,,,,,
exp-0038,Trial-108,0.512820513,1,1,0.666666667,0.794871795,,,,,,
exp-0038,Trial-144,0.44,1,0.846153846,0.906976744,0.798282648,,,,,,
exp-0038,Trial-182,0.657894737,1,0.9375,0.181818182,0.69430323,,,,,,
exp-0038,Trial-266,0.538461538,1,1,0.730769231,0.817307692,,,,,,
exp-0038,Trial-184,0.552631579,1,0.8,0.538461538,0.722773279,,,,,,
exp-0038,Trial-176,0.533333333,1,0.833333333,0.743589744,0.777564103,,,,,,
exp-0038,Trial-97,0.583333333,1,0.6875,0.555555556,0.706597222,,,,,,
exp-0038,Trial-48,0.676470588,1,0.923076923,0.725490196,0.831259427,,,,,,
exp-0038,Trial-273,0.545454545,1,1,0.733333333,0.81969697,,,,,,
exp-0038,Trial-264,0.568181818,0.933333333,1,0.610169492,0.777921161,,,,,,
exp-0038,Trial-61,0.484848485,1,0.769230769,0.470588235,0.681166872,,,,,,
exp-0038,Trial-120,0.8125,1,0.941176471,0.766666667,0.880085784,,,,,,
