states,observations
"(64, 0)","[69, 65, 70, 66, 71, 60, 67, 68, 76, 64]"
"(64, 90)","[63, 60, 66, 65, 64]"
"(64, 180)","[63, 64]"
"(64, 270)","[63, 66, 76, 65, 64]"
"(65, 0)","[69, 65, 70, 66, 71, 60, 67, 68, 76]"
"(65, 90)","[60, 67, 66, 65, 64]"
"(65, 180)","[76, 60, 65, 64]"
"(65, 270)","[66, 67, 76, 65, 64]"
"(66, 0)","[69, 70, 66, 71, 67, 68]"
"(66, 90)","[65, 68, 60, 67, 66, 64]"
"(66, 180)","[76, 60, 66, 65, 64]"
"(66, 270)","[76, 68, 67, 66, 65, 64]"
"(67, 0)","[69, 70, 71, 67, 68]"
"(67, 90)","[65, 69, 68, 60, 67, 66]"
"(67, 180)","[76, 60, 67, 66, 65, 64]"
"(67, 270)","[76, 69, 68, 67, 66, 65]"
"(68, 0)","[69, 70, 71, 68]"
"(68, 90)","[70, 69, 68, 67, 66]"
"(68, 180)","[65, 76, 68, 60, 67, 66, 64]"
"(68, 270)","[70, 69, 68, 67, 66]"
"(69, 0)","[69, 70, 71]"
"(69, 90)","[71, 70, 69, 68, 67]"
"(69, 180)","[65, 76, 69, 68, 60, 67, 64, 66]"
"(69, 270)","[71, 70, 69, 68, 67]"
"(70, 0)","[70, 71]"
"(70, 90)","[69, 70, 71, 68]"
"(70, 180)","[64, 70, 65, 69, 68, 67, 66]"
"(70, 270)","[69, 70, 71, 68]"
"(71, 0)",[71]
"(71, 90)","[69, 70, 71]"
"(71, 180)","[69, 65, 70, 66, 71, 60, 67, 68, 76, 64]"
"(71, 270)","[69, 70, 71]"
"(72, 0)","[73, 61, 72, 62, 88, 77, 58, 87, 78, 57, 74]"
"(72, 90)","[73, 61, 72, 62, 58, 57, 74]"
"(72, 180)","[72, 87, 61, 77, 57]"
"(72, 270)","[72, 87, 74, 77, 73, 88, 78]"
"(73, 0)","[73, 58, 74, 62, 88, 78]"
"(73, 90)","[73, 61, 72, 62, 58, 57, 74]"
"(73, 180)","[72, 87, 58, 61, 77, 57, 73, 62, 88, 78]"
"(73, 270)","[72, 87, 74, 77, 73, 88, 78]"
"(74, 0)","[63, 74, 75, 79]"
"(74, 90)","[73, 61, 72, 62, 75, 63, 57, 74]"
"(74, 180)","[72, 87, 74, 61, 77, 57, 73, 62, 78]"
"(74, 270)","[73, 79, 72, 77, 75, 87, 78, 74]"
"(75, 0)","[63, 75, 89, 79]"
"(75, 90)","[74, 63, 75]"
"(75, 180)","[63, 74, 75, 89, 79]"
"(75, 270)","[79, 75, 74, 89]"
"(76, 0)","[81, 65, 90, 66, 60, 92, 80, 76, 91]"
"(76, 90)","[66, 65, 60, 76, 64]"
"(76, 180)","[80, 90, 60, 76, 65, 64]"
"(76, 270)","[81, 90, 92, 80, 76, 91]"
"(77, 0)","[73, 61, 72, 62, 88, 77, 58, 87, 78, 74]"
"(77, 90)","[73, 61, 72, 62, 77, 58, 78, 57, 74]"
"(77, 180)","[72, 87, 61, 77]"
"(77, 270)","[87, 77, 88, 78]"
"(78, 0)","[73, 62, 88, 78, 74]"
"(78, 90)","[73, 61, 72, 62, 77, 58, 78, 57, 74]"
"(78, 180)","[72, 87, 61, 77, 57, 73, 62, 88, 78]"
"(78, 270)","[87, 77, 88, 78]"
"(79, 0)","[79, 75, 63, 89]"
"(79, 90)","[63, 74, 75, 79]"
"(79, 180)","[79, 75, 63, 74, 89]"
"(79, 270)","[79, 89]"
"(80, 0)","[96, 83, 90, 82, 95, 84, 94, 85, 92, 80, 93, 86, 81, 76, 91]"
"(80, 90)","[80, 82, 81, 76]"
"(80, 180)","[90, 80, 76]"
"(80, 270)","[96, 90, 82, 95, 94, 92, 80, 93, 81, 91]"
"(81, 0)","[96, 83, 82, 95, 84, 94, 85, 92, 93, 86, 81, 91]"
"(81, 90)","[83, 80, 82, 81, 76]"
"(81, 180)","[81, 90, 80, 76, 91]"
"(81, 270)","[96, 83, 90, 82, 95, 94, 92, 80, 93, 81, 91]"
"(82, 0)","[96, 83, 82, 95, 84, 94, 85, 92, 93, 86]"
"(82, 90)","[83, 80, 82, 81, 76, 84]"
"(82, 180)","[81, 90, 82, 80, 92, 76, 91]"
